ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Meta: rs_page_bg_color","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 name","Download 1 URL","Meta: bazien_product_page_header_image"
2793,variation,,"Basic sweatshirt - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2794,variation,,"Basic sweatshirt - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2795,variation,,"Basic sweatshirt - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2796,variation,,"Basic sweatshirt - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2797,variation,,"Basic sweatshirt - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2798,variation,,"Basic sweatshirt - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2799,variation,,"Basic sweatshirt - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2800,variation,,"Basic sweatshirt - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2698,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2801,variation,,"Sweater with ruffle detail - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2802,variation,,"Sweater with ruffle detail - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2803,variation,,"Sweater with ruffle detail - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2804,variation,,"Sweater with ruffle detail - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2805,variation,,"Sweater with ruffle detail - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2806,variation,,"Sweater with ruffle detail - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2807,variation,,"Sweater with ruffle detail - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2808,variation,,"Sweater with ruffle detail - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2809,variation,,"Sweater with ruffle detail - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2810,variation,,"Sweater with ruffle detail - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2811,variation,,"Sweater with ruffle detail - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2812,variation,,"Sweater with ruffle detail - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2700,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2813,variation,,"Embossed design sweatshirt - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2814,variation,,"Embossed design sweatshirt - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2815,variation,,"Embossed design sweatshirt - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2816,variation,,"Embossed design sweatshirt - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2817,variation,,"Embossed design sweatshirt - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2818,variation,,"Embossed design sweatshirt - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2819,variation,,"Embossed design sweatshirt - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2820,variation,,"Embossed design sweatshirt - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2821,variation,,"Embossed design sweatshirt - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2822,variation,,"Embossed design sweatshirt - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2823,variation,,"Embossed design sweatshirt - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2824,variation,,"Embossed design sweatshirt - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2702,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2825,variation,,"Double-breasted structured blazer - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2826,variation,,"Double-breasted structured blazer - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2827,variation,,"Double-breasted structured blazer - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2828,variation,,"Double-breasted structured blazer - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2829,variation,,"Double-breasted structured blazer - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2830,variation,,"Double-breasted structured blazer - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2831,variation,,"Double-breasted structured blazer - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2832,variation,,"Double-breasted structured blazer - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2833,variation,,"Double-breasted structured blazer - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2834,variation,,"Double-breasted structured blazer - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2835,variation,,"Double-breasted structured blazer - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2836,variation,,"Double-breasted structured blazer - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2704,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2837,variation,,"Flowy suit blazer - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2838,variation,,"Flowy suit blazer - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2839,variation,,"Flowy suit blazer - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2840,variation,,"Flowy suit blazer - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2841,variation,,"Flowy suit blazer - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2842,variation,,"Flowy suit blazer - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2843,variation,,"Flowy suit blazer - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2844,variation,,"Flowy suit blazer - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2845,variation,,"Flowy suit blazer - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2846,variation,,"Flowy suit blazer - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2847,variation,,"Flowy suit blazer - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2848,variation,,"Flowy suit blazer - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2706,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
2849,variation,,"Faux-leather double-breasted blazer - Black, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,3,,Color,Black,,1,,Size,Small,,1,,,,
2850,variation,,"Faux-leather double-breasted blazer - Blue, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,4,,Color,Blue,,1,,Size,Large,,1,,,,
2851,variation,,"Faux-leather double-breasted blazer - Blue, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,5,,Color,Blue,,1,,Size,Medium,,1,,,,
2852,variation,,"Faux-leather double-breasted blazer - Blue, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,6,,Color,Blue,,1,,Size,Small,,1,,,,
2853,variation,,"Faux-leather double-breasted blazer - White, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,7,,Color,White,,1,,Size,Large,,1,,,,
2854,variation,,"Faux-leather double-breasted blazer - White, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,8,,Color,White,,1,,Size,Medium,,1,,,,
2855,variation,,"Faux-leather double-breasted blazer - White, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,9,,Color,White,,1,,Size,Small,,1,,,,
2856,variation,,"Faux-leather double-breasted blazer - Yellow, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,10,,Color,Yellow,,1,,Size,Large,,1,,,,
2857,variation,,"Faux-leather double-breasted blazer - Yellow, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,11,,Color,Yellow,,1,,Size,Medium,,1,,,,
2858,variation,,"Faux-leather double-breasted blazer - Yellow, Small",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,12,,Color,Yellow,,1,,Size,Small,,1,,,,
2859,variation,,"Faux-leather double-breasted blazer - Black, Large",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,1,,Color,Black,,1,,Size,Large,,1,,,,
2860,variation,,"Faux-leather double-breasted blazer - Black, Medium",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,99.99,,,,,,,id:2708,,,,,,2,,Color,Black,,1,,Size,Medium,,1,,,,
